CAS,InChIKey,Score
"12645-31-7","LJKDOMVGKKPJBH-UHFFFAOYSA-N","0"
"127-51-5","JRJBVWJSTHECJK-PKNBQFBNSA-N","0"
"127-91-3","WTARULDDTDQWMU-UHFFFAOYSA-N","1"
"128-37-0","NLZUEZXRPGMBCV-UHFFFAOYSA-N","1"
"128-39-2","DKCPKDPYUFEZCP-UHFFFAOYSA-N","0"
"130066-44-3","No result","N/A"
"131-11-3","NIQCNGHVCWTJSM-UHFFFAOYSA-N","1"
"13106-44-0","UZLGVMYVDYNSCS-UHFFFAOYSA-M","0"
"131298-44-7","HNDYULRADYGBDU-UHFFFAOYSA-N","0"
"131459-42-2","SPURMHFLEKVAAS-UHFFFAOYSA-N","0"
"1319-77-3","ISWSIDIOOBJBQZ-UHFFFAOYSA-N","1"
"1323-39-3","FKOKUHFZNIUSLW-UHFFFAOYSA-N","0"
"13284-42-9","ISBHMJZRKAFTGE-ONEGZZNKSA-N","0"
"1330-61-6","FWLDHHJLVGRRHD-UHFFFAOYSA-N","0"
"1330-78-5","RYYKJJJTJZKILX-UHFFFAOYSA-M","1"
"1333-07-9","YCMLQMDWSXFTIF-UHFFFAOYSA-N","0"
"1333-74-0","UFHFLCQGNIYNRP-UHFFFAOYSA-N","1"
"1335-46-2","VPKMGDRERYMTJX-CMDGGOBGSA-N","0"
"1338-24-5","VUSWCWPCANWBFG-UHFFFAOYSA-N","0"
"1338-39-2","LWZFANDGMFTDAV-URHIDPGUSA-N","1"
"1338-41-6","HVUMOYIDDBPOLL-QNECDRBKSA-N","1"
"1338-43-8","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","1"
"13472-08-7","OSWBZCCZJXCOGL-UHFFFAOYSA-N","0"
"13560-89-9","UGQQAJOWXNCOPY-UHFFFAOYSA-N","0"
"13586-84-0","AMFIJXSMYBKJQV-UHFFFAOYSA-L","0"
"136-23-2","BOXSVZNGTQTENJ-UHFFFAOYSA-L","0"
"137-26-8","KUAZQDVKQLNFPE-UHFFFAOYSA-N","1"
"138-86-3","XMGQYMWWDOXHJM-JTQLQIEISA-N","1"
"13863-31-5","VVYVUOFMPAXVCH-QDBORUFSSA-L","0"
"140-11-4","QUKGYYKBILRGFE-UHFFFAOYSA-N","1"
"140-66-9","ISAVYTVYFVQUDY-UHFFFAOYSA-N","1"
"142-22-3","JHQVCQDWGSXTFE-UHFFFAOYSA-N","0"
"142-78-9","QZXSMBBFBXPQHI-UHFFFAOYSA-N","0"
"143-27-1","KMXTYZBQPJXGNK-UHFFFAOYSA-N","1"
"143-27-1","KMXTYZBQPJXGNK-UHFFFAOYSA-N","1"
"143-28-2","ALSTYHKOOCGGFT-KTKRTIGZSA-N","1"
"143-29-3","LMSQHVXHZCNJEP-UHFFFAOYSA-N","0"
"144-19-4","JCTXKRPTIMZBJT-UHFFFAOYSA-N","0"
"144-35-4","SDCYWERHEYVPHL-UHFFFAOYSA-N","0"
"14433-76-2","HNXNKTMIVROLTK-UHFFFAOYSA-N","0"
"14450-05-6","YYJBWYBULYUKMR-UHFFFAOYSA-N","0"
"14643-87-9","XKMZOFXGLBYJLS-UHFFFAOYSA-L","0"
"147-14-8","XCJYREBRNVKWGJ-UHFFFAOYSA-N","0"
"147732-60-3","LQONWVIHYMEWNT-UHFFFAOYSA-M","0"
"149-30-4","YXIWHUQXZSMYRE-UHFFFAOYSA-N","1"
"149-57-5","WWZKQHOCKIZLMA-UHFFFAOYSA-N","1"
"149119-20-0","No result","N/A"
"150-76-5","NWVVVBRKAWDGAB-UHFFFAOYSA-N","1"
"151789-06-9","CUFBDUDYFHCIOH-UHFFFAOYSA-N","0"
"151789-07-0","YZGGABQGIYPLRM-UHFFFAOYSA-N","0"
"15214-89-8","XHZPRMZZQOIPDS-UHFFFAOYSA-N","0"
"15233-47-3","JQTYAZKTBXWQOM-UHFFFAOYSA-N","0"
"15721-78-5","GQBHYWDCHSZDQU-UHFFFAOYSA-N","0"
"15890-25-2","ACNHBJQDDXQFAT-UHFFFAOYSA-K","0"
"1592-23-0","CJZGTCYPCWQAJB-UHFFFAOYSA-L","1"
"1599-67-3","NOPFSRXAKWQILS-UHFFFAOYSA-N","1"
"16090-02-1","VUJGKADZTYCLIL-YHPRVSEPSA-L","0"
"1646-75-9","ZFGMCJAXIZTVJA-GQCTYLIASA-N","0"
"16470-24-9","CPZFDTYTCMAAQX-MBCFVHIPSA-J","0"
"16529-56-9","WBAXCOMEMKANRN-UHFFFAOYSA-N","0"
"16883-83-3","HPZSSCRWFLKGOG-UHFFFAOYSA-N","0"
"17540-75-9","BFZOTKYPSZSDEV-UHFFFAOYSA-N","0"
"17611-82-4","GDCJAPJJFZWILF-UHFFFAOYSA-N","0"
"17661-50-6","MHXBHWLGRWOABW-UHFFFAOYSA-N","0"
"17824-83-8","KFPBGJYBKSQIAI-UHFFFAOYSA-N","0"
"17852-99-2","WGYYVXRIDZRFPW-UHFFFAOYSA-L","0"
"1806-26-4","NTDQQZYCCIDJRK-UHFFFAOYSA-N","1"
"180788-27-6","No result","N/A"
"1817-13-6","MWFCRQNUHFSUNY-UHFFFAOYSA-N","0"
"18268-70-7","GYHPTPQZVBYHLC-UHFFFAOYSA-N","0"
"1843-05-6","QUAMTGJKVDWJEQ-UHFFFAOYSA-N","1"
"184378-08-3","No result","N/A"
"18479-58-8","XSNQECSCDATQEL-UHFFFAOYSA-N","0"
"1852-16-0","UTSYWKJYFPPRAP-UHFFFAOYSA-N","0"
"18760-44-6","ZMLKENVAWQJBIR-UHFFFAOYSA-N","0"
"1918-00-9","IWEDIXLBFLAXBO-UHFFFAOYSA-N","1"
"1982-69-0","HLZCHRAMVPCKDU-UHFFFAOYSA-M","0"
"1984-58-3","QKMNFFSBZRGHDJ-UHFFFAOYSA-N","0"
"2050-08-0","PMGCQNGBLMMXEW-UHFFFAOYSA-N","0"
"210555-94-5","ZLIZUPQZVMVLPA-UHFFFAOYSA-N","0"
"2163-42-0","QWGRWMMWNDWRQN-UHFFFAOYSA-N","0"
"2163-42-0","QWGRWMMWNDWRQN-UHFFFAOYSA-N","0"
"2176-62-7","DNDPLEAVNVOOQZ-UHFFFAOYSA-N","0"
"218141-16-3","DHIBIUNZWFPELU-UHFFFAOYSA-N","0"
"2231-57-4","LJTFFORYSFGNCT-UHFFFAOYSA-N","1"
"22788-19-8","WITKSCOBOCOGSC-UHFFFAOYSA-N","1"
"228573-47-5","No result","N/A"
